,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Yabelo,0,ET,1553311841,21,4.89,38.09,81.31,11.01
376,Beatrice,90,US,1553343945,71,40.27,-96.75,53.01,12.75
377,Deputatskiy,0,RU,1553372712,0,69.3,139.9,-31.38,2.62
378,Bathsheba,20,BB,1553335220,58,13.22,-59.52,84.2,17.22
379,Moindou,0,NC,1553367718,83,-21.69,165.68,73.4,2.24
380,Natal,40,BR,1553329470,62,-5.81,-35.21,89.6,6.93
381,Maamba,0,ZM,1553314525,56,-17.36,27.22,74.74,2.95
382,Castro,75,CL,1553338846,67,-42.48,-73.76,59.0,5.82
383,Ust-Kuyga,0,RU,1553373706,28,70.0,135.55,-20.22,2.73
384,Santa Cruz del Sur,36,CU,1553339611,70,20.71,-78.0,82.75,15.26
385,Salta,75,AR,1553336783,53,-24.79,-65.41,73.4,4.85
386,Amot,44,NO,1553318518,76,59.57,7.99,31.54,12.35
387,San Antonio,20,CL,1553338300,82,-33.58,-71.61,64.4,8.05
388,Nanortalik,24,GL,1553331251,100,60.14,-45.24,23.17,17.72
389,Saint-Pierre,0,FR,1553319627,81,48.95,4.24,48.0,9.17
390,Aklera,0,IN,1553388855,52,24.41,76.57,60.52,3.29
391,Ahuimanu,68,US,1553358755,100,21.44,-157.84,73.99,4.7
392,Finnsnes,92,NO,1553315756,59,69.23,17.98,39.2,18.34
393,Sur,12,OM,1553306614,84,22.57,59.53,75.64,6.76
394,Zabol,0,IR,1553306090,45,31.03,61.49,62.6,4.7
395,Oneida,1,US,1553342373,43,41.07,-90.23,55.0,9.17
396,Bandarbeyla,36,SO,1553308770,100,9.49,50.81,81.04,9.44
397,San Vicente,20,SV,1553342237,32,13.64,-88.78,95.0,6.93
398,Yate,68,GB,1553321180,66,51.54,-2.41,52.0,9.17
399,Santa Barbara,90,US,1553349507,87,34.42,-119.7,64.4,3.36
400,Shuangyang,76,CN,1553378768,80,25.0,118.61,50.62,13.47
401,Uyar,36,RU,1553384165,80,55.81,94.33,21.01,2.84
402,Jeremoabo,24,BR,1553330237,78,-10.08,-38.34,83.02,6.53
403,Ejido,88,VE,1553338055,82,8.55,-71.24,66.28,0.94
404,Awjilah,24,LY,1553315741,46,29.14,21.3,70.33,13.13
405,Nchelenge,88,ZM,1553314135,100,-9.35,28.74,65.83,4.18
406,Monticello,1,US,1553343173,74,45.31,-93.79,53.01,9.33
407,Kingaroy,0,AU,1553371060,93,-26.54,151.84,64.4,1.12
408,Abu Samrah,0,SY,1553311885,70,35.3,37.18,57.46,6.2
409,Carauari,12,BR,1553337071,73,-4.88,-66.9,87.43,3.96
410,Dumai,12,ID,1553383029,82,1.68,101.45,81.04,3.18
411,Manggar,12,ID,1553381415,100,-2.88,108.27,76.54,3.29
412,Maceio,20,BR,1553329611,59,-9.67,-35.74,89.6,13.87
413,Phan Thiet,56,VN,1553381383,95,10.93,108.1,79.87,11.68
414,Kvarkeno,92,RU,1553306281,95,52.08,59.73,33.34,3.06
415,Le Port,20,FR,1553320395,27,42.87,1.37,64.4,10.29
416,Mecca,0,SA,1553311346,49,21.43,39.83,69.52,2.73
417,Juba,92,EE,1553314025,93,57.82,26.93,42.8,16.11
418,Trelew,68,AR,1553336818,45,-43.25,-65.31,66.1,24.09
419,Filadelfia,0,PY,1553335486,82,-22.35,-60.04,84.91,4.74
420,Hami,0,CN,1553384602,50,42.84,93.51,35.32,7.65
421,Kondoa,8,TZ,1553312431,45,-4.91,35.78,77.35,11.9
422,Kalmunai,0,LK,1553387708,94,7.42,81.82,75.01,2.73
423,Longyearbyen,20,NO,1553315433,67,78.22,15.63,21.2,16.11
424,Lasa,20,CY,1553313003,87,34.92,32.53,60.8,4.7
425,Alofi,48,NU,1553361851,88,-19.06,-169.92,71.6,3.36
426,Kaeo,0,NZ,1553365827,95,-35.1,173.78,55.0,2.84
427,Dauphin,1,CA,1553344580,70,51.15,-100.04,46.4,10.29
428,Sioux Lookout,20,CA,1553342653,28,50.1,-91.92,46.4,8.05
429,Saint-Joseph,0,FR,1553319044,51,43.56,6.97,64.4,2.06
430,Kalabo,0,ZM,1553315610,28,-15.0,22.67,83.11,10.22
431,Zyryanka,0,RU,1553370280,64,65.73,150.89,-3.93,2.73
432,Kirakira,76,SB,1553368575,100,-10.46,161.92,84.1,11.23
433,Las Cruces,20,CL,1553338302,82,-33.5,-71.62,64.4,8.05
434,Baoning,40,CN,1553380823,87,25.34,110.03,48.2,2.24
435,Korem,0,ET,1553311465,69,12.51,39.52,62.05,2.17
436,Port Macquarie,36,AU,1553370823,100,-31.43,152.91,70.0,2.24
437,Maryville,90,US,1553343493,25,40.35,-94.87,53.6,10.29
438,Mazagao,75,BR,1553333307,100,-0.12,-51.29,80.6,11.41
439,Champerico,5,MX,1553343378,40,16.38,-93.6,86.0,6.93
440,Kerman,40,IR,1553307157,34,30.29,57.06,53.6,9.17
441,Soria,0,ES,1553321325,38,41.76,-2.46,55.0,4.85
442,Ginda,20,IN,1553388340,61,30.69,78.49,42.25,2.95
443,Preobrazheniye,0,RU,1553374917,56,42.9,133.91,17.32,5.97
444,Llanes,0,ES,1553321855,90,43.42,-4.75,57.0,1.72
445,Cabedelo,20,BR,1553329386,66,-6.97,-34.84,87.8,10.29
446,Caravelas,92,BR,1553330486,100,-17.73,-39.27,80.05,21.52
447,Masallatah,56,LY,1553317465,79,32.62,14.0,54.4,10.56
448,Sibu,75,MY,1553380536,100,2.29,111.83,78.01,3.06
449,Boa Vista,40,BR,1553335545,34,2.82,-60.67,95.0,8.05
450,Casablanca,75,MA,1553322641,28,33.6,-7.62,72.0,6.93
451,Lenina,92,UA,1553311269,93,48.44,39.15,32.98,13.8
452,Okahandja,88,NA,1553317013,27,-21.98,16.91,80.01,2.24
453,Caucaia,75,BR,1553330290,78,-3.73,-38.66,82.4,10.29
454,Broken Hill,40,AU,1553373577,53,-31.97,141.45,73.4,6.93
455,Moss Vale,32,AU,1553371446,78,-34.55,150.37,72.0,8.05
456,Muros,20,ES,1553322896,39,42.77,-9.06,66.0,14.99
457,Tilichiki,0,RU,1553366843,41,60.47,166.1,-14.1,2.95
458,Ambilobe,80,MG,1553309273,97,-13.19,49.05,74.92,2.39
459,Namtsy,40,RU,1553375490,55,62.72,129.66,10.4,6.71
460,Collie,0,AU,1553379658,52,-33.36,116.15,53.01,5.75
461,Turner,90,AU,1553371749,87,-35.27,149.12,62.01,5.08
462,Behshahr,0,IR,1553307950,93,36.69,53.54,50.0,4.7
463,Wana,12,PK,1553304138,91,32.31,69.59,35.05,2.06
464,Lazaro Cardenas,5,MX,1553346182,14,28.39,-105.62,69.8,4.29
465,Dawlatabad,0,AF,1553305227,78,36.41,64.91,46.21,9.78
466,Skjervoy,76,NO,1553314994,98,70.03,20.97,37.21,12.91
467,Ardesen,90,TR,1553310916,87,41.19,40.99,44.6,12.75
468,Ukiah,1,US,1553350301,71,39.15,-123.21,57.0,4.18
469,Neuquen,0,AR,1553337465,18,-38.95,-68.06,80.6,12.75
470,Necochea,0,AR,1553335225,36,-38.55,-58.74,81.0,8.99
471,Padang,24,ID,1553383304,100,-0.92,100.36,78.52,3.96
472,Liku,56,ID,1553378617,97,-0.73,119.89,79.24,1.72
473,La Ciotat,0,FR,1553319377,34,43.17,5.6,64.99,5.82
474,Inverell,0,AU,1553371249,67,-29.78,151.11,68.0,4.0
475,San Jose,24,PH,1553378262,89,15.79,120.99,67.81,3.29
476,Port Hardy,75,CA,1553351149,71,50.7,-127.42,50.0,10.29
477,Heihe,40,RU,1553376335,57,50.24,127.51,17.6,4.47
478,Sorland,92,NO,1553317103,95,67.67,12.69,41.08,39.97
479,Thenzawl,0,IN,1553384976,92,23.28,92.78,59.35,1.39
480,Haimen,0,CN,1553378093,71,31.87,121.18,45.0,8.32
481,Sibolga,56,ID,1553383670,100,1.74,98.78,69.52,0.94
482,Karratha,92,AU,1553379436,58,-20.74,116.85,82.57,38.41
483,North Bend,75,US,1553350492,81,43.41,-124.22,54.0,3.74
484,San Cristobal,75,EC,1553339849,49,-0.39,-78.55,73.4,12.75
485,Bubaque,8,GW,1553324749,80,11.28,-15.83,84.19,5.86
486,Matagami,24,NG,1553318944,42,9.67,8.4,84.19,4.41
487,Jutai,92,BR,1553332497,93,-1.71,-47.89,78.97,4.07
488,Selaphum,48,TH,1553382350,65,16.03,103.94,80.6,9.17
489,Trinidad,0,UY,1553334768,47,-33.52,-56.9,77.89,8.77
490,Kudat,75,MY,1553379309,88,6.89,116.84,80.6,8.05
491,Imbituba,20,BR,1553332775,65,-28.24,-48.67,78.8,10.29
492,Vao,92,EE,1553314171,94,59.1,26.19,38.2,11.34
493,Richards Bay,48,ZA,1553313394,93,-28.77,32.06,72.04,7.65
494,Urubicha,44,BO,1553336194,73,-15.63,-63.08,83.02,2.95
495,Rio Grande,40,BR,1553333611,50,-32.03,-52.1,78.8,4.7
496,Yumen,0,CN,1553383789,62,40.29,97.04,23.8,6.76
497,Pandan,0,PH,1553378023,99,11.72,122.09,79.87,22.53
498,Noormarkku,0,FI,1553315137,48,61.59,21.87,42.8,16.11
499,Pokosnoye,44,RU,1553382562,81,55.53,101.05,23.62,4.52
500,Praia da Vitoria,40,PT,1553327257,62,38.73,-27.07,59.0,31.25
501,Walvis Bay,0,NA,1553317592,77,-22.95,14.51,63.0,11.41
502,Changde,92,CN,1553380396,90,29.04,111.68,43.6,3.4
503,Mezen,92,RU,1553309633,81,65.85,44.24,33.52,14.25
504,Sovetskiy,56,RU,1553308890,87,56.76,48.47,27.85,2.95
505,Goderich,0,CA,1553340298,71,43.74,-81.71,37.0,15.01
506,Bayan,0,MN,1553381173,59,47.25,107.54,12.82,5.64
507,Eyl,100,SO,1553309014,95,7.98,49.82,80.05,12.12
508,Sakaiminato,75,JP,1553375167,86,35.55,133.23,37.4,5.82
509,Porto Novo,40,BR,1553331986,48,-23.68,-45.44,84.2,3.36
510,Mamou,92,GN,1553323854,37,10.37,-12.08,85.99,2.51
511,Hobyo,12,SO,1553309335,86,5.35,48.53,80.14,12.8
512,Eagle Pass,75,MX,1553344952,73,28.71,-100.5,71.6,6.93
513,Bud,75,NO,1553318677,60,62.91,6.91,41.0,35.57
514,Ossora,56,RU,1553367606,83,59.24,163.07,13.9,11.79
515,Valkenswaard,90,NL,1553319297,76,51.35,5.46,53.01,8.05
516,Akita,88,JP,1553373474,100,39.72,140.1,39.01,16.49
517,Ulaanbaatar,0,MN,1553381311,51,47.92,106.92,10.4,4.74
518,Lakselv,0,NO,1553314038,69,70.05,24.96,35.6,10.29
519,Tutoia,40,BR,1553331153,55,-2.76,-42.27,87.8,10.29
520,Umm Lajj,0,SA,1553311938,75,25.02,37.27,69.34,3.18
521,Piracanjuba,20,BR,1553332825,70,-17.3,-49.02,84.37,6.2
522,Rantepao,80,ID,1553378625,97,-2.97,119.9,67.09,1.61
523,Rockhampton,40,AU,1553371367,94,-23.38,150.51,71.6,3.4
524,Aswan,0,EG,1553312992,22,24.09,32.9,87.8,6.93
525,Luganville,92,VU,1553367333,100,-15.51,167.18,75.64,2.95
526,Chapada dos Guimaraes,40,BR,1553334434,52,-15.46,-55.75,93.2,5.82
527,Luanda,40,AO,1553317854,78,-8.83,13.24,82.4,6.93
528,Staryy Nadym,92,RU,1553302835,93,65.61,72.68,28.75,6.98
529,Pimentel,48,BR,1553331932,77,-3.7,-45.5,85.18,4.74
530,Montrose,75,AU,1553372668,82,-37.81,145.34,66.0,4.7
531,Kargasok,64,RU,1553387299,86,59.06,80.87,22.54,2.39
532,Trincomalee,8,LK,1553387843,90,8.58,81.23,74.74,3.85
533,Kargat,88,RU,1553387546,78,55.19,80.28,26.77,3.96
534,Paita,0,PE,1553340482,290,-5.09,-81.11,62.6,8.88
535,Nefteyugansk,90,RU,1553303001,100,61.09,72.61,30.2,4.47
536,Douglas,1,US,1553347101,26,31.34,-109.55,64.99,5.82
